epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7336,1.44048,2.33105,1.52076,0.86493,0.5578,0.57427,0.38511,1.33204,1.40618,1.35794,0.000470147,0.000470147,0.000470147
2,18.858,1.2688,1.33029,1.40594,0.71942,0.76775,0.85737,0.55393,1.16864,1.23841,1.23549,0.00089963,0.00089963,0.00089963
3,26.5237,1.24451,1.19107,1.3508,0.80675,0.88246,0.8778,0.5681,1.21281,1.04331,1.23755,0.00128196,0.00128196,0.00128196
4,34.4346,1.21028,1.12123,1.32174,0.81659,0.87692,0.87629,0.57415,1.14003,1.02099,1.242,0.00121679,0.00121679,0.00121679
